accuracy,cls,fscore macro,fscore weighted avg,uncover_rate,utility
0.6119402985074627,GaussianNB,0.26850278696831503,0.7176137554203409,0.2,betweenness
0.9104477611940298,GaussianNB,0.3177083333333333,0.8677705223880597,0.2,degree
0.917910447761194,GaussianNB,0.3190661478599222,0.8786224519426216,0.2,closeness
0.9603960396039604,GaussianNB,0.3265993265993266,0.940994099409941,0.4,betweenness
0.9207920792079208,GaussianNB,0.3195876288659794,0.8828212718179035,0.4,degree
0.9306930693069307,GaussianNB,0.3213675213675214,0.8972835745112975,0.4,closeness
0.9850746268656716,GaussianNB,0.49624060150375937,0.9776680507238246,0.6,betweenness
0.9552238805970149,GaussianNB,0.32569974554707376,0.9333485245528085,0.6,degree
0.9552238805970149,GaussianNB,0.32569974554707376,0.9333485245528085,0.6,closeness
0.9029850746268657,RandomForestClassifier,0.31633986928104574,0.8852794849282997,0.2,betweenness
0.9029850746268657,RandomForestClassifier,0.31758530183727035,0.867434481137619,0.2,degree
0.917910447761194,RandomForestClassifier,0.4035433070866142,0.8948319426489598,0.2,closeness
0.9603960396039604,RandomForestClassifier,0.3265993265993266,0.940994099409941,0.4,betweenness
0.9207920792079208,RandomForestClassifier,0.3195876288659794,0.8828212718179035,0.4,degree
0.13861386138613863,RandomForestClassifier,0.09012345679012346,0.19156582324899157,0.4,closeness
0.5223880597014925,RandomForestClassifier,0.23102310231023102,0.682724988916802,0.6,betweenness
0.9552238805970149,RandomForestClassifier,0.32569974554707376,0.9333485245528085,0.6,degree
0.9552238805970149,RandomForestClassifier,0.32569974554707376,0.9333485245528085,0.6,closeness
0.9104477611940298,KNeighborsClassifier,0.3177083333333333,0.8891091417910447,0.2,betweenness
0.9104477611940298,KNeighborsClassifier,0.3177083333333333,0.8677705223880597,0.2,degree
0.917910447761194,KNeighborsClassifier,0.3190661478599222,0.8786224519426216,0.2,closeness
0.9603960396039604,KNeighborsClassifier,0.3265993265993266,0.940994099409941,0.4,betweenness
0.9207920792079208,KNeighborsClassifier,0.3195876288659794,0.8828212718179035,0.4,degree
0.9306930693069307,KNeighborsClassifier,0.3213675213675214,0.8972835745112975,0.4,closeness
0.9850746268656716,KNeighborsClassifier,0.49624060150375937,0.9776680507238246,0.6,betweenness
0.9552238805970149,KNeighborsClassifier,0.32569974554707376,0.9333485245528085,0.6,degree
0.9552238805970149,KNeighborsClassifier,0.32569974554707376,0.9333485245528085,0.6,closeness
0.7388059701492538,AdaBoostClassifier,0.28571428571428575,0.7995735607675907,0.2,betweenness
0.9029850746268657,AdaBoostClassifier,0.31758530183727035,0.867434481137619,0.2,degree
0.917910447761194,AdaBoostClassifier,0.4738461538461538,0.9053042479908151,0.2,closeness
0.9603960396039604,AdaBoostClassifier,0.3265993265993266,0.940994099409941,0.4,betweenness
0.9207920792079208,AdaBoostClassifier,0.3195876288659794,0.8828212718179035,0.4,degree
0.09900990099009901,AdaBoostClassifier,0.06636007494464316,0.12837794765679938,0.4,closeness
0.9850746268656716,AdaBoostClassifier,0.49624060150375937,0.9776680507238246,0.6,betweenness
0.9552238805970149,AdaBoostClassifier,0.32569974554707376,0.9333485245528085,0.6,degree
0.9552238805970149,AdaBoostClassifier,0.32569974554707376,0.9333485245528085,0.6,closeness
0.9328358208955224,DecisionTreeClassifier,0.32175032175032175,0.9004206765400795,0.2,betweenness
0.9029850746268657,DecisionTreeClassifier,0.31633986928104574,0.8640327772900205,0.2,degree
0.9029850746268657,DecisionTreeClassifier,0.31758530183727035,0.8745445998354683,0.2,closeness
0.9405940594059405,DecisionTreeClassifier,0.4182621502209131,0.9391796322489392,0.4,betweenness
0.9207920792079208,DecisionTreeClassifier,0.3195876288659794,0.8828212718179035,0.4,degree
0.09900990099009901,DecisionTreeClassifier,0.0661483906164757,0.12718153975790375,0.4,closeness
0.4626865671641791,DecisionTreeClassifier,0.21305841924398627,0.6296353285120789,0.6,betweenness
0.9552238805970149,DecisionTreeClassifier,0.32569974554707376,0.9333485245528085,0.6,degree
0.9402985074626866,DecisionTreeClassifier,0.3230769230769231,0.9258323765786453,0.6,closeness
