Set,precision,recall,fscore
wine AdaBoost estymator=10 Fold:5,0.692505057371619,0.5596245734589995,0.53574205992607
wine AdaBoost estymator=10 Fold:8,0.6823785541058609,0.5513430236916997,0.5277522086999781
wine AdaBoost estymator=10 Fold:10,0.6730271065998311,0.5414308990676053,0.5186522407069987
wine AdaBoost estymator=20 Fold:5,0.6656945327735379,0.5007168782882344,0.48169845208376877
wine AdaBoost estymator=20 Fold:8,0.6583500568772181,0.4949658962820618,0.4763993574443661
wine AdaBoost estymator=20 Fold:10,0.651055008993091,0.4885233703801824,0.4702444362319988
wine AdaBoost estymator=30 Fold:5,0.6471724482530423,0.4617913872579843,0.4459629359606022
wine AdaBoost estymator=30 Fold:8,0.6413977084073851,0.45817454362254867,0.44240907735539864
wine AdaBoost estymator=30 Fold:10,0.6358380689658729,0.4537175443189695,0.43815039809037354
