Set,precision,recall,fscore
seeds Bagging estymatory=30 Fold:10,0.5797165487500859,0.4517020621895049,0.4407336529296512
seeds Bagging estymatory=30 Fold:8,0.5816143079655925,0.4514880545007938,0.44034505397770884
seeds Bagging estymatory=30 Fold:5,0.5834191869442823,0.4515732345628736,0.440283479206925
seeds Bagging estymatory=20 Fold:10,0.5962261071757275,0.4522867642130221,0.43996458304083247
seeds Bagging estymatory=20 Fold:8,0.5988213232767167,0.4521931978752603,0.4396430714063278
seeds Bagging estymatory=20 Fold:5,0.6011099783944189,0.452332628964704,0.43960493851708793
seeds Bagging estymatory=10 Fold:10,0.617541340453391,0.452862841876951,0.43877227527222296
seeds Bagging estymatory=10 Fold:8,0.6209840580719319,0.45276773042659735,0.43838230362800173
seeds Bagging estymatory=10 Fold:5,0.624033453506402,0.4529445638246319,0.438342191479491
