Set,precision,recall,fscore
seeds AdaBoost estymator=30 Fold:10,0.5751848184767044,0.45175329919128765,0.44116295985493736
seeds AdaBoost estymator=30 Fold:8,0.5770859157058194,0.4517040585109173,0.4409544092771883
seeds AdaBoost estymator=30 Fold:5,0.5787098251389482,0.45172743401846327,0.4408441209311363
seeds AdaBoost estymator=20 Fold:8,0.5927150049973944,0.45212856042466815,0.4400808374056979
seeds AdaBoost estymator=20 Fold:5,0.5948837280430072,0.4522653525630872,0.44005043645867903
seeds AdaBoost estymator=20 Fold:10,0.5899774239123063,0.4518312003755673,0.4399826450099537
seeds AdaBoost estymator=10 Fold:10,0.6095730745062113,0.45250989158130006,0.43904720705706524
seeds AdaBoost estymator=10 Fold:8,0.613014527919824,0.45276430386682004,0.4390298824469257
seeds AdaBoost estymator=10 Fold:5,0.6158010802101233,0.4528576602694669,0.43890454830441133
