Set,precision,recall,fscore
Glass RF estymatory=10 Fold:10,0.8000565196856755,0.6759029215550956,0.6438534474038783
Glass RF estymatory=10 Fold:8,0.7988518855034692,0.6630901505901505,0.6370749838542531
Glass RF estymatory=10 Fold:5,0.7630975723622784,0.6385714285714286,0.6117644361330551
Glass RF estymatory=30 Fold:10,0.7304539235399374,0.6357188044299844,0.6058766692938479
Glass RF estymatory=20 Fold:10,0.7330260375597172,0.635752386703474,0.60543476898267
Glass RF estymatory=20 Fold:8,0.7269193042619692,0.6335793328171381,0.6030334522892636
Glass RF estymatory=30 Fold:8,0.7284096119317857,0.6328217526893022,0.602863084021636
Glass RF estymatory=30 Fold:5,0.7237720018783039,0.629348429348429,0.5987669146770934
Glass RF estymatory=20 Fold:5,0.7219269976648153,0.6244217431717434,0.5931322388852892
