Set,precision,recall,fscore
Glass AdaBoost estymator=10 Fold:5,0.7551359997372605,0.6410869903516964,0.611366719245839
Glass AdaBoost estymator=20 Fold:5,0.7356215757917981,0.6350793650793651,0.6067024407452156
Glass AdaBoost estymator=30 Fold:5,0.7316452026906822,0.633804694717393,0.6051650149355179
Glass AdaBoost estymator=30 Fold:8,0.7280129566428838,0.6328196760937878,0.603965859914396
Glass AdaBoost estymator=20 Fold:8,0.7278922161377369,0.6326373387896823,0.6032066638145361
Glass AdaBoost estymator=10 Fold:8,0.7389686154459764,0.6336875616536635,0.6030193019746283
Glass AdaBoost estymator=30 Fold:10,0.7236285283512126,0.6302852541982974,0.6000440556859663
Glass AdaBoost estymator=20 Fold:10,0.7232034925544104,0.6288273521969169,0.5981192925843255
Glass AdaBoost estymator=10 Fold:10,0.719071773052415,0.6208256652097234,0.5889088744286463
