Set,precision,recall,fscore
seeds RF estymatory=30 Fold:10,0.5845490455287068,0.4516490266646626,0.44025485108822
seeds RF estymatory=30 Fold:5,0.5887688052199815,0.4517933893095303,0.44005763523957203
seeds RF estymatory=30 Fold:8,0.5867865807260589,0.451636072227206,0.4400509065809618
seeds RF estymatory=20 Fold:10,0.602545331301404,0.45237920585547137,0.4395170235314919
seeds RF estymatory=20 Fold:8,0.6053856269593623,0.4522831644988707,0.43916711789013213
seeds RF estymatory=20 Fold:5,0.6079437129397637,0.452435385471226,0.4391160819933986
seeds RF estymatory=10 Fold:8,0.6302662100133839,0.4534383228973159,0.43831836866071644
seeds RF estymatory=10 Fold:10,0.6260138443537603,0.45308722255859574,0.4383075899858243
seeds RF estymatory=10 Fold:5,0.6336244745601386,0.45358794525617907,0.4382161347758112
