Set,precision,recall,fscore
wine RF estymatory=10 Fold:5,0.7182515146810696,0.6221721698643701,0.5928612959849512
wine RF estymatory=10 Fold:8,0.7110752055439713,0.6091695971215341,0.5808550686679884
wine RF estymatory=10 Fold:10,0.7074806648162468,0.5943922309737538,0.567422653009007
wine RF estymatory=20 Fold:5,0.6732244167700081,0.536776549525309,0.5145452303715848
wine RF estymatory=20 Fold:8,0.6719803759008546,0.5293421967754264,0.5077108272832445
wine RF estymatory=20 Fold:10,0.6706068609655447,0.5211797225182757,0.5003847450418887
wine RF estymatory=30 Fold:5,0.6502072789828416,0.4854407097299684,0.46749964296813734
wine RF estymatory=30 Fold:8,0.6492094602278046,0.48078608867093353,0.46319467443372686
wine RF estymatory=30 Fold:10,0.6501607662638429,0.4753894997612395,0.4582728896579681
