,Set,precision,recall,fscore
0,Wine Bagging est=10 bootstrap: True max_depth: 5 Fold:5,0.7395921031816113,0.6160815751984328,0.5863543811465961
0,Wine Bagging est=10 bootstrap: True max_depth: 5 Fold:8,0.7407781649111691,0.5979081695307824,0.5695979930176917
0,Wine Bagging est=10 bootstrap: True max_depth: 5 Fold:10,0.7437431339945367,0.5772428457720565,0.5504639719792624
0,Wine Bagging est=10 bootstrap: False max_depth: 5 Fold:5,0.7449912311823874,0.568028330400318,0.5419671428019875
0,Wine Bagging est=10 bootstrap: False max_depth: 5 Fold:8,0.7459270935121544,0.5544224463371448,0.5293902199084594
0,Wine Bagging est=10 bootstrap: False max_depth: 5 Fold:10,0.7479725909817481,0.5394686905688173,0.5157068811732175
0,Wine Bagging est=10 bootstrap: True max_depth: 10 Fold:5,0.7447031953378058,0.5325843902649537,0.50951058463836
0,Wine Bagging est=10 bootstrap: True max_depth: 10 Fold:8,0.7393515189462981,0.5221244887886327,0.49993833152709455
0,Wine Bagging est=10 bootstrap: True max_depth: 10 Fold:10,0.7347915930700735,0.5104031695478211,0.48937455366665633
0,Wine Bagging est=10 bootstrap: False max_depth: 10 Fold:5,0.7322894755621783,0.5048362882287137,0.4844347042651795
0,Wine Bagging est=10 bootstrap: False max_depth: 10 Fold:8,0.7282211650137913,0.4966452061027617,0.4769039889173206
0,Wine Bagging est=10 bootstrap: False max_depth: 10 Fold:10,0.7254789047557152,0.48723491924233786,0.468315207764583
0,Wine Bagging est=10 bootstrap: True max_depth: None Fold:5,0.7223907274745637,0.4823586329546457,0.46388375382279845
0,Wine Bagging est=10 bootstrap: True max_depth: None Fold:8,0.7173931422761451,0.47521773494056463,0.45742924033551785
0,Wine Bagging est=10 bootstrap: True max_depth: None Fold:10,0.713230341786489,0.46717879005512775,0.4499826341712551
0,Wine Bagging est=10 bootstrap: False max_depth: None Fold:5,0.711043965048331,0.46323292944758715,0.44636598231536884
0,Wine Bagging est=10 bootstrap: False max_depth: None Fold:8,0.7084575761669024,0.45748889441035057,0.4411776381995497
0,Wine Bagging est=10 bootstrap: False max_depth: None Fold:10,0.7043019431075322,0.4512592843507104,0.4357378411942594
