Set,precision,recall,fscore
Glass Bagging estymatory=10 Fold:5,0.7849769405709986,0.6568145313681027,0.6235420415664739
Glass Bagging estymatory=10 Fold:8,0.7719335932984163,0.6554673721340387,0.6229674465527982
Glass Bagging estymatory=10 Fold:10,0.7683396190273064,0.6491459627329194,0.619017072208987
Glass Bagging estymatory=20 Fold:8,0.7408099860417512,0.6399943310657598,0.6117776628052782
Glass Bagging estymatory=20 Fold:10,0.740672996645478,0.6396221532091099,0.6109042088080743
Glass Bagging estymatory=30 Fold:10,0.7348225747095796,0.636639492753623,0.6076912086760948
Glass Bagging estymatory=20 Fold:5,0.7338949878829812,0.6365440735286098,0.6070399280669545
Glass Bagging estymatory=30 Fold:8,0.7327158632572937,0.6364874110563765,0.606933253909719
Glass Bagging estymatory=30 Fold:5,0.7293281321998727,0.634762462548607,0.6047195890530787
