,Set,precision,recall,fscore
2,WineK:3 Folds:8majority euclidean,0.4254584991589184,0.28449478978987336,0.2741926827248174
2,WineK:3 Folds:8farest_distance_weighted_vote euclidean,0.4860752203393597,0.2834223648859996,0.2718988208245145
2,WineK:3 Folds:5majority euclidean,0.3728478701331413,0.27289339048804606,0.2686069878810484
2,WineK:5 Folds:5farest_distance_weighted_vote manhatan,0.5559180386398129,0.26537430267593304,0.26846118548236314
2,WineK:5 Folds:5farest_distance_weighted_vote euclidean,0.4559390116285347,0.26396117884316106,0.2666140501340954
2,WineK:3 Folds:5farest_distance_weighted_vote euclidean,0.43986481327836535,0.27448081112100164,0.26580636170897154
2,WineK:5 Folds:8farest_distance_weighted_vote euclidean,0.4945764989879117,0.2611685387100086,0.26378375159541295
2,WineK:5 Folds:8farest_distance_weighted_vote manhatan,0.5088292303172429,0.2624973691394917,0.2626732392565871
2,WineK:5 Folds:5majority euclidean,0.6042253771646561,0.2620833511693565,0.2611014364157382
2,WineK:5 Folds:8majority manhattan,0.5368644314536336,0.26248997702186555,0.2591157137038585
2,WineK:5 Folds:5majority manhattan,0.617710521495343,0.2586119050513899,0.2587972847461499
2,WineK:5 Folds:3majority euclidean,0.4934593987323031,0.25573888688895746,0.2574223743420607
2,WineK:5 Folds:8majority euclidean,0.5630976358474716,0.2594582563547448,0.2572840722829152
2,WineK:3 Folds:8distance_weighted_vote euclidean,0.3659593721565264,0.2633375667262293,0.25664300401111817
2,WineK:3 Folds:3majority euclidean,0.3181545933502625,0.2606351802557921,0.25609154214998137
2,WineK:0 Folds:8majority manhattan,0.7756407562451842,0.2621157370930906,0.2559941874358519
2,WineK:3 Folds:3farest_distance_weighted_vote euclidean,0.3808790135386024,0.2575327548778137,0.25544091267846203
2,WineK:3 Folds:8farest_distance_weighted_vote manhatan,0.4762037408698638,0.2578198921605733,0.2553318373120701
2,WineK:0 Folds:8majority euclidean,0.7699521820036322,0.2608969395333445,0.2546988164852363
2,WineK:3 Folds:8majority manhattan,0.3887939450099116,0.2570993271339544,0.2534459849159257
2,WineK:5 Folds:8distance_weighted_vote euclidean,0.3179443514700547,0.2624671834316103,0.2533725624005153
2,WineK:0 Folds:5majority manhattan,0.7766641549057076,0.26068093754181826,0.25317842151350345
2,WineK:0 Folds:5majority euclidean,0.7671741901627088,0.25556340526597643,0.2494191737382992
2,WineK:5 Folds:3farest_distance_weighted_vote euclidean,0.4336156898661512,0.2467217019248246,0.2491288097461405
2,WineK:5 Folds:3farest_distance_weighted_vote manhatan,0.3831385675207494,0.2453006034188869,0.2477510082533773
2,WineK:3 Folds:3distance_weighted_vote euclidean,0.25017785486369026,0.2499775823773477,0.24667164936805605
2,WineK:3 Folds:8distance_weighted_vote manhattan,0.3582605904866194,0.2527662418980937,0.246333586879422
2,WineK:5 Folds:8distance_weighted_vote manhattan,0.3314523664534964,0.2548851332064569,0.24588379310114786
2,WineK:5 Folds:5distance_weighted_vote euclidean,0.272366432396065,0.2577685725164557,0.2422881507284011
2,WineK:5 Folds:3majority manhattan,0.5351072373680364,0.2434182773749957,0.24223740716424
2,WineK:5 Folds:3distance_weighted_vote euclidean,0.2429335021825271,0.2528549399079739,0.2418718783485406
2,WineK:3 Folds:3majority manhattan,0.3040309971297181,0.2378631074897289,0.23870843083775384
2,WineK:3 Folds:5majority manhattan,0.3410350460587946,0.24285452501517046,0.23815107221611004
2,WineK:5 Folds:3distance_weighted_vote manhattan,0.2389199059333298,0.24478114694619546,0.23796246054956155
2,WineK:3 Folds:5distance_weighted_vote euclidean,0.30685484106917826,0.2431736652774727,0.2378693519223557
2,WineK:0 Folds:3majority manhattan,0.7698409443899411,0.24177997534354095,0.2367928087563267
